地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
鸿业兴园一区,3室2厅,128.15,南 北,精装,高楼层(共16层),2006年,780.0,60867,20, 6个月以前发布,https://bj.lianjia.com/ershoufang/101122975604.html
洋桥71号院,2室1厅,60.76,东南,简装,高楼层(共18层),1996年,288.0,47400,28, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125948357.html
紫成嘉园,3室2厅,127.25,南 北,精装,顶层(共6层),2006年,1270.0,99804,10, 23天以前发布,https://bj.lianjia.com/ershoufang/101123115239.html
加州水郡二期,3室2厅,144.15,南 北,精装,9层,2007年,320.0,22200,13, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122223628.html
金台北街,2室1厅,60.2,南,毛坯,顶层(共16层),1988年,365.0,60632,15, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125827448.html
晨光家园B区,3室1厅,133.96,南 北,精装,21层,2008年,837.0,62482,15, 1个月以前发布,https://bj.lianjia.com/ershoufang/101120498255.html
亦庄北岸,1室0厅,38.78,西,其他,低楼层(共12层),2008年,135.0,34812,11, 8个月以前发布,https://bj.lianjia.com/ershoufang/101123381038.html
首开缇香郡二期,2室1厅,83.18,南 北,精装,中楼层(共11层),2017年,178.0,21400,7, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125703756.html
云立方,2室1厅,81.08,南,简装,高楼层(共19层),2014年,282.0,34781,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101124874721.html
金晖嘉园,3室1厅,136.4,西南,简装,23层,塔楼,1480.0,108505,25, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124123575.html
手帕口北街,2室1厅,50.45,南,精装,中楼层(共6层),板楼,399.0,79089,449, 一年前发布,https://bj.lianjia.com/ershoufang/101123089134.html
上地东里,2室1厅,58.8,南 北,精装,中楼层(共6层),板楼,868.0,147620,11, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125231944.html
天秀花园古月园,4室2厅,183.36,南 北,精装,底层(共7层),板楼,1250.0,68172,35, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126007459.html
富力华庭苑东区,3室2厅,100.52,南 北,简装,顶层(共9层),2014年,250.0,24871,22, 一年前发布,https://bj.lianjia.com/ershoufang/101125782287.html
柏林爱乐二期,1室0厅,49.23,北,简装,中楼层(共21层),2005年,186.0,37782,7, 30天以前发布,https://bj.lianjia.com/ershoufang/101124233542.html
上奥世纪中心,2室1厅,93.43,南 北,精装,底层(共11层),板楼,400.0,42813,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123126755.html
花家地小区,1室1厅,45.42,南,精装,顶层(共6层),板楼,202.0,44474,22, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123909355.html
京艺天朗雅园,2室1厅,89.3,南 北,精装,中楼层(共6层),板楼,355.0,39754,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125231944.html
顺源里,2室1厅,49.02,东南,简装,中楼层(共12层),1984年,355.0,72420,20, 4个月以前发布,https://bj.lianjia.com/ershoufang/101122406622.html
万科青青家园,3室1厅,122.99,南 北,简装,中楼层(共5层),板楼,435.0,35369,69, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125555311.html
永乐东区,2室1厅,54.46,东,简装,中楼层(共6层),1980年,206.0,37826,41, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124676801.html
新康园,1室1厅,67.2,北,简装,中楼层(共32层),2003年,320.0,47620,15, 8个月以前发布,https://bj.lianjia.com/ershoufang/101123089134.html
东大街东里,2室1厅,74.76,南 北,精装,顶层(共6层),板楼,315.0,42135,53, 一年前发布,https://bj.lianjia.com/ershoufang/101123718921.html
蓝桥驿苑,1室1厅,55.29,南 北,简装,低楼层(共12层),2014年,118.0,21343,2, 30天以前发布,https://bj.lianjia.com/ershoufang/101123257725.html
绿林苑,2室1厅,95.89,东 南 北,精装,低楼层(共7层),板楼,448.0,46721,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123650846.html
住欣家园,2室1厅,68.91,西南,简装,中楼层(共26层),2010年,261.0,37876,60, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125002460.html
润泽悦溪,2室2厅,84.23,南 北,精装,低楼层(共11层),2010年,719.0,85362,19, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123387949.html
圆明园花园别墅,3室2厅,127.92,南 北,精装,6层,板楼,960.0,75047,70, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125998113.html
农林路社区,2室1厅,76.05,东 西,精装,中楼层(共6层),2000年,88.0,11572,2, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126007459.html
珠江绿洲,1室1厅,75.59,东北,简装,中楼层(共31层),2004年,318.0,42070,34, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123279056.html
宜兰园三区,1室1厅,68.94,南 北,简装,中楼层(共15层),2011年,263.0,38150,24, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124534228.html
兴怀大街小区,2室1厅,93.4,北 南,简装,高楼层(共6层),板楼,193.0,20664,0, 21天以前发布,https://bj.lianjia.com/ershoufang/101126002675.html
后现代城C区,2室1厅,86.63,西,简装,中楼层(共28层),2007年,525.0,60603,8, 19天以前发布,https://bj.lianjia.com/ershoufang/101125314469.html
双裕花园西区,2室1厅,56.69,南 北,精装,中楼层(共6层),板楼,195.0,34398,18, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124233542.html
