地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
加州水郡二期,3室2厅,144.15,南 北,精装,9层,2007年,320.0,22200,13, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125636247.html
上地东里,2室1厅,58.8,南 北,精装,中楼层(共6层),板楼,868.0,147620,11, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124527621.html
洋桥71号院,2室1厅,60.76,东南,简装,高楼层(共18层),1996年,288.0,47400,28, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123115239.html
云立方,2室1厅,81.08,南,简装,高楼层(共19层),2014年,282.0,34781,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101125498890.html
金台北街,2室1厅,60.2,南,毛坯,顶层(共16层),1988年,365.0,60632,15, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125224676.html
亦庄北岸,1室0厅,38.78,西,其他,低楼层(共12层),2008年,135.0,34812,11, 8个月以前发布,https://bj.lianjia.com/ershoufang/101125486923.html
首开缇香郡二期,2室1厅,83.18,南 北,精装,中楼层(共11层),2017年,178.0,21400,7, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122975604.html
天秀花园古月园,4室2厅,183.36,南 北,精装,底层(共7层),板楼,1250.0,68172,35, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125188066.html
金晖嘉园,3室1厅,136.4,西南,简装,23层,塔楼,1480.0,108505,25, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123126755.html
手帕口北街,2室1厅,50.45,南,精装,中楼层(共6层),板楼,399.0,79089,449, 一年前发布,https://bj.lianjia.com/ershoufang/101124233542.html
晨光家园B区,3室1厅,133.96,南 北,精装,21层,2008年,837.0,62482,15, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124362358.html
紫成嘉园,3室2厅,127.25,南 北,精装,顶层(共6层),2006年,1270.0,99804,10, 23天以前发布,https://bj.lianjia.com/ershoufang/101126007459.html
鸿业兴园一区,3室2厅,128.15,南 北,精装,高楼层(共16层),2006年,780.0,60867,20, 6个月以前发布,https://bj.lianjia.com/ershoufang/101122635525.html
柏林爱乐二期,1室0厅,49.23,北,简装,中楼层(共21层),2005年,186.0,37782,7, 30天以前发布,https://bj.lianjia.com/ershoufang/101125998113.html
永乐东区,2室1厅,54.46,东,简装,中楼层(共6层),1980年,206.0,37826,41, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123147569.html
名都园,2室1厅,72.76,东南 西北,精装,低楼层(共6层),板楼,332.0,45630,12, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123257725.html
怡海花园恒丰园,1室1厅,68.82,西南,精装,低楼层(共26层),2006年,379.0,55072,21, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125868367.html
化四小区,2室1厅,62.05,南,简装,低楼层(共3层),板楼,75.0,12088,8, 28天以前发布,https://bj.lianjia.com/ershoufang/101123650846.html
保利西山林语,3室1厅,91.79,东南,简装,中楼层(共8层),2010年,550.0,59920,11, 28天以前发布,https://bj.lianjia.com/ershoufang/101125002460.html
西便门外大街,2室1厅,55.2,南 北,简装,7层,板楼,750.0,135870,18, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123387949.html
车公庄北里,2室1厅,61.09,北 南,简装,地下室(共6层),1995年,399.0,65314,43, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125555963.html
北京城建上悦居东区,2室1厅,76.79,南,精装,低楼层(共21层),2018年,270.0,35161,8, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125364990.html
京艺天朗,2室1厅,59.47,东 北,精装,高楼层(共12层),2004年,228.0,38339,7, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124534228.html
亮甲店小区,2室1厅,58.5,南 北,简装,顶层(共7层),1998年,378.0,64616,20, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122406622.html
